target,mission
KIC 6448890,Kepler
KIC 4757437,Kepler
KIC 6949061,Kepler
KIC 9881662,Kepler
KIC 10136549,Kepler
KIC 5774349,Kepler
KIC 8492026,Kepler
KIC 8142942,Kepler
KIC 8804283,Kepler
KIC 4478168,Kepler
KIC 9076513,Kepler
KIC 6665695,Kepler
KIC 9512687,Kepler
KIC 9766437,Kepler
KIC 7515679,Kepler
KIC 4633570,Kepler
KIC 6975129,Kepler
KIC 8041216,Kepler
KIC 6046540,Kepler
KIC 5446285,Kepler
KIC 11853905,Kepler
KIC 6291653,Kepler
KIC 9347899,Kepler
KIC 11414511,Kepler
KIC 8416523,Kepler
KIC 3937519,Kepler
KIC 7277317,Kepler
KIC 10910878,Kepler
KIC 10990886,Kepler
KIC 7764367,Kepler
KIC 1873513,Kepler
KIC 11624249,Kepler
KIC 8242434,Kepler
KIC 8491277,Kepler
KIC 11194032,Kepler
KIC 7447200,Kepler
KIC 8162789,Kepler
KIC 2581316,Kepler
KIC 6267535,Kepler
KIC 6022556,Kepler
KIC 8456679,Kepler
KIC 8678594,Kepler
KIC 9579641,Kepler
KIC 11074541,Kepler
KIC 8292840,Kepler
KIC 10028792,Kepler
KIC 12019440,Kepler
KIC 3847907,Kepler
KIC 5084942,Kepler
KIC 10318874,Kepler
KIC 3832474,Kepler
KIC 11250587,Kepler
KIC 3662838,Kepler
KIC 11013201,Kepler
KIC 10616679,Kepler
KIC 9941859,Kepler
KIC 11192998,Kepler
KIC 10214873,Kepler
KIC 5306383,Kepler
KIC 6356885,Kepler
KIC 9407689,Kepler
KIC 7584778,Kepler
KIC 6049470,Kepler
KIC 7976435,Kepler
KIC 5709906,Kepler
KIC 6612973,Kepler
KIC 8565900,Kepler
KIC 8938937,Kepler
KIC 6887321,Kepler
KIC 10002266,Kepler
KIC 8962007,Kepler
KIC 2831251,Kepler
KIC 5130563,Kepler
KIC 5775090,Kepler
KIC 8554498,Kepler
KIC 8260269,Kepler
KIC 7255910,Kepler
KIC 7011044,Kepler
KIC 11046870,Kepler
KIC 2713018,Kepler
KIC 5425908,Kepler
KIC 8848115,Kepler
KIC 7280953,Kepler
KIC 6690523,Kepler
KIC 5008775,Kepler
KIC 5273713,Kepler
KIC 12165063,Kepler
KIC 9092897,Kepler
KIC 4246343,Kepler
KIC 6119877,Kepler
KIC 7592339,Kepler
KIC 9777089,Kepler
KIC 3641216,Kepler
KIC 5709103,Kepler
KIC 7456380,Kepler
KIC 5174492,Kepler
KIC 2697169,Kepler
KIC 9899421,Kepler
KIC 11081512,Kepler
KIC 4144873,Kepler
KIC 3336476,Kepler
KIC 3734501,Kepler
KIC 5080346,Kepler
KIC 11144439,Kepler
KIC 7200301,Kepler
KIC 7031132,Kepler
KIC 6364126,Kepler
KIC 5951416,Kepler
KIC 7368137,Kepler
KIC 7885558,Kepler
KIC 11390109,Kepler
KIC 8781480,Kepler
KIC 2574201,Kepler
KIC 10420301,Kepler
KIC 7694615,Kepler
KIC 5536715,Kepler
KIC 5952457,Kepler
KIC 5389632,Kepler
KIC 5168498,Kepler
KIC 12108364,Kepler
KIC 8613218,Kepler
KIC 5119143,Kepler
KIC 6720773,Kepler
KIC 3644738,Kepler
KIC 8613338,Kepler
KIC 7386391,Kepler
KIC 4449752,Kepler
KIC 12069414,Kepler
KIC 7663804,Kepler
KIC 8758136,Kepler
KIC 9640946,Kepler
KIC 5962509,Kepler
KIC 5879448,Kepler
KIC 7888957,Kepler
KIC 7900450,Kepler
KIC 9226339,Kepler
KIC 3644631,Kepler
KIC 7031992,Kepler
KIC 4150611,Kepler
KIC 5598595,Kepler
KIC 5992270,Kepler
KIC 7285673,Kepler
KIC 10275766,Kepler
KIC 9674608,Kepler
KIC 7116226,Kepler
KIC 5308419,Kepler
KIC 10407047,Kepler
KIC 12365000,Kepler
KIC 7631194,Kepler
KIC 7938499,Kepler
KIC 5200084,Kepler
KIC 11090561,Kepler
KIC 8111919,Kepler
KIC 8767034,Kepler
KIC 11874338,Kepler
KIC 4270565,Kepler
KIC 11243547,Kepler
KIC 5471010,Kepler
KIC 8382339,Kepler
KIC 7124026,Kepler
KIC 3644653,Kepler
KIC 10801951,Kepler
KIC 10489525,Kepler
KIC 4285107,Kepler
KIC 10879656,Kepler
KIC 5952366,Kepler
KIC 7985733,Kepler
KIC 8179325,Kepler
KIC 10226420,Kepler
KIC 8519253,Kepler
KIC 7430876,Kepler
KIC 7115332,Kepler
KIC 11188249,Kepler
KIC 6312314,Kepler
KIC 8655354,Kepler
KIC 7031208,Kepler
KIC 10362031,Kepler
KIC 5449777,Kepler
KIC 10383696,Kepler
KIC 8703491,Kepler
KIC 3239636,Kepler
KIC 4928119,Kepler
KIC 8552498,Kepler
KIC 5529643,Kepler
KIC 6762188,Kepler
KIC 8415745,Kepler
KIC 9291378,Kepler
KIC 8042789,Kepler
KIC 5653849,Kepler
KIC 4078693,Kepler
KIC 4372961,Kepler
KIC 10547685,Kepler
KIC 5110423,Kepler
KIC 8155584,Kepler
KIC 3858988,Kepler
KIC 10191070,Kepler
KIC 7877818,Kepler
KIC 3836399,Kepler
KIC 9471755,Kepler
KIC 7749318,Kepler
KIC 2695110,Kepler
KIC 3458919,Kepler
KIC 5725851,Kepler
KIC 4996558,Kepler
KIC 5020034,Kepler
KIC 6890618,Kepler
KIC 5305404,Kepler
KIC 10552700,Kepler
KIC 6973796,Kepler
KIC 8621353,Kepler
KIC 4480676,Kepler
KIC 4743513,Kepler
KIC 3970233,Kepler
KIC 6960445,Kepler
KIC 4649305,Kepler
KIC 6628237,Kepler
KIC 10877024,Kepler
KIC 5359678,Kepler
KIC 9963461,Kepler
KIC 7598128,Kepler
KIC 10992733,Kepler
KIC 2019076,Kepler
KIC 4247023,Kepler
KIC 10849244,Kepler
KIC 8358008,Kepler
KIC 6220470,Kepler
KIC 9692336,Kepler
KIC 8193315,Kepler
KIC 5979863,Kepler
KIC 11826400,Kepler
KIC 9163674,Kepler
KIC 10487119,Kepler
KIC 8711548,Kepler
KIC 3449540,Kepler
KIC 9029486,Kepler
KIC 6852488,Kepler
KIC 6525196,Kepler
KIC 8374499,Kepler
KIC 10583181,Kepler
KIC 8378656,Kepler
KIC 2719873,Kepler
KIC 10352603,Kepler
KIC 6948815,Kepler
KIC 12013615,Kepler
KIC 3654950,Kepler
KIC 12251779,Kepler
KIC 8143170,Kepler
KIC 8957954,Kepler
KIC 8196180,Kepler
KIC 9098810,Kepler
KIC 6675060,Kepler
KIC 7877824,Kepler
KIC 5534702,Kepler
KIC 4740676,Kepler
KIC 8589754,Kepler
KIC 6146838,Kepler
KIC 8180020,Kepler
