target,label,koi_name,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,koi_period,koi_depth,koi_snr
KIC 11463211,FALSE POSITIVE,K00770.01,0,0,1,0,1.50635409,2211.7,181.1
KIC 11465813,FALSE POSITIVE,K00771.01,0,1,1,0,670.645531,18090.6,642.7
KIC 11493732,FALSE POSITIVE,K00772.01,0,1,0,0,61.2563628,5123.3,85.3
KIC 11507101,CONFIRMED,K00773.01,0,0,0,0,38.3775486,724.2,34.7
KIC 10987985,CONFIRMED,K00758.01,0,0,0,0,16.01308419,1121.9,33.2
KIC 11018648,CONFIRMED,K00759.01,0,0,0,0,32.62876672,1804.8,80.0
KIC 11138155,CONFIRMED,K00760.01,0,0,0,0,4.959319244,9802,696.5
KIC 11152159,FALSE POSITIVE,K00761.01,0,1,1,0,2.701287801,860.4,48.3
KIC 11153539,CONFIRMED,K00762.01,0,0,0,0,4.49876511,460,29.5
KIC 11242721,FALSE POSITIVE,K00763.01,0,1,0,0,19.651209505,11766.3,513.4
KIC 9579641,CONFIRMED,K00115.01,0,0,0,0,5.412203927,601.6,166.7
KIC 11304958,CONFIRMED,K00764.01,0,0,0,0,41.43958662,2793.1,141.1
KIC 11391957,CONFIRMED,K00765.01,0,0,0,0,8.35389523,1041.6,43.4
KIC 11403044,CONFIRMED,K00766.01,0,0,0,0,4.125543472,1487.3,128.6
KIC 11414511,CONFIRMED,K00767.01,0,0,0,0,2.816504904,16813.7,1406.8
KIC 11442465,FALSE POSITIVE,K00768.01,0,1,1,0,33.93373447,8503.7,236.1
KIC 12110942,CONFIRMED,K00786.01,0,0,0,0,3.689920099,426.7,35.6
KIC 12366084,CONFIRMED,K00787.01,0,0,0,0,4.431238488,1010.9,71.1
KIC 12404086,CONFIRMED,K00788.01,0,0,0,0,26.39432897,1510.9,48.2
KIC 8395660,CONFIRMED,K00116.01,0,0,0,0,13.57078281,511.7,88.4
KIC 11656840,FALSE POSITIVE,K00774.01,0,1,0,0,7.442652004,24446.2,835.6
KIC 11754553,CONFIRMED,K00775.01,0,0,0,0,16.38489988,1127.1,28.9
KIC 11812062,CONFIRMED,K00776.01,0,0,0,0,3.728732147,5226.5,345.2
KIC 11818800,CANDIDATE,K00777.01,0,0,0,0,40.4195037,6256,36.9
KIC 11853255,CONFIRMED,K00778.01,0,0,0,0,2.243380573,821.7,38.9
KIC 11909839,FALSE POSITIVE,K00779.01,0,1,0,0,10.405998015,14488.8,745.2
KIC 11918099,CONFIRMED,K00780.01,0,0,0,0,2.337437946,971.2,82.4
KIC 11923270,CONFIRMED,K00781.01,0,0,0,0,11.59822233,2804.5,71.0
KIC 11960862,CONFIRMED,K00782.01,0,0,0,0,6.575315881,2793.3,221.1
KIC 12020329,CONFIRMED,K00783.01,0,0,0,0,7.275040844,3001,312.1
KIC 12066335,CONFIRMED,K00784.01,0,0,0,0,19.27153892,1219.8,37.1
KIC 12070811,CONFIRMED,K00785.01,0,0,0,0,12.3935651,916.6,35.8
KIC 3120431,FALSE POSITIVE,K00798.01,0,1,1,0,3.341913228,725.3,39.0
KIC 3246984,FALSE POSITIVE,K00799.01,0,0,1,0,1.626630225,1620.6,103.6
KIC 3342970,CONFIRMED,K00800.01,0,0,0,0,2.711504086,837.5,64.5
KIC 12459725,FALSE POSITIVE,K00789.01,0,0,0,1,14.1798187,459.9,11.2
KIC 12470844,CONFIRMED,K00790.01,0,0,0,0,8.47237911,1123.5,47.6
KIC 12644822,CONFIRMED,K00791.01,0,0,0,0,12.611904345,6105.6,277.2
KIC 2440757,FALSE POSITIVE,K00792.01,0,1,0,0,1.433769925,1976.3,112.6
KIC 2445129,FALSE POSITIVE,K00793.01,0,1,1,0,10.31872301,871.7,38.2
KIC 2713049,CONFIRMED,K00794.01,0,0,0,0,2.539183147,382.1,38.9
KIC 3114167,CONFIRMED,K00795.01,0,0,0,0,6.770300385,1304,50.8
KIC 3114661,FALSE POSITIVE,K00796.01,0,1,1,1,0.444291966,10967.4,299.7
KIC 3115833,CANDIDATE,K00797.01,0,0,0,0,10.181584004,5741.1,183.6
KIC 4139816,CONFIRMED,K00812.02,0,0,0,0,20.06036336,1494.7,35.2
KIC 4275191,CONFIRMED,K00813.01,0,0,0,0,3.895936525,8544.8,370.8
KIC 4476123,CONFIRMED,K00814.01,0,0,0,0,22.36646466,986.8,32.1
KIC 3351888,CONFIRMED,K00801.01,0,0,0,0,1.625522174,7969,799.7
KIC 3453214,CANDIDATE,K00802.01,0,0,0,0,19.620346923,21724.6,340.5
KIC 3554600,FALSE POSITIVE,K00803.01,1,0,1,0,7.544039,322.6,14.2
KIC 3641726,CONFIRMED,K00804.01,0,0,0,0,9.02930689,1019.8,53.9
KIC 3734868,FALSE POSITIVE,K00805.01,0,1,0,0,10.328035714,16917.7,636.8
KIC 3832474,CONFIRMED,K00806.01,0,0,0,0,143.2063047,10565.7,138.8
KIC 3836375,FALSE POSITIVE,K00807.01,0,0,1,1,1.540397253,816.1,38.8
KIC 3838486,FALSE POSITIVE,K00808.01,0,0,1,1,2.99025443,589.2,48.5
KIC 3935914,CONFIRMED,K00809.01,0,0,0,0,1.594745374,15044.5,1009.3
KIC 3940418,CONFIRMED,K00810.01,0,0,0,0,4.783002698,1008.7,70.6
KIC 4049131,CONFIRMED,K00811.01,0,0,0,0,20.50588921,2105.5,78.5
KIC 5287983,FALSE POSITIVE,K00828.01,0,1,1,0,2.507089906,1339.2,64.9
KIC 5358241,CONFIRMED,K00829.01,0,0,0,0,18.64932728,893.6,46.1
KIC 10875245,CONFIRMED,K00117.02,0,0,0,0,4.90144976,140.7,50.6
KIC 5358624,CONFIRMED,K00830.01,0,0,0,0,3.525632539,22335,1996.7
KIC 4544670,CANDIDATE,K00815.01,0,0,0,0,34.84398644,4523.6,76.8
KIC 4664847,CONFIRMED,K00816.01,0,0,0,0,7.748094239,2472.1,113.2
KIC 4725681,CONFIRMED,K00817.01,0,0,0,0,23.96793669,1182.3,27.5
KIC 4913852,CONFIRMED,K00818.01,0,0,0,0,8.11437482,1558,56.4
KIC 4932348,FALSE POSITIVE,K00819.01,0,1,0,0,38.036729482,82871.6,1300.0
KIC 4936180,CANDIDATE,K00820.01,0,0,0,0,4.64090031,2450.6,296.9
KIC 11913073,FALSE POSITIVE,K00011.01,0,1,1,1,3.747838198,616,138.2
KIC 5021899,CONFIRMED,K00821.01,0,0,0,0,21.81295996,1175.4,37.8
KIC 5077629,FALSE POSITIVE,K00822.01,0,1,0,0,7.91936937,15148.1,389.0
KIC 5115978,CANDIDATE,K00823.01,0,0,0,0,1.028436523,8098,89.6
KIC 5164255,CONFIRMED,K00824.01,0,0,0,0,15.37562369,15337,166.0
KIC 5252423,CONFIRMED,K00825.01,0,0,0,0,8.10363271,887.9,39.3
KIC 5272878,CONFIRMED,K00826.01,0,0,0,0,6.365839713,780.7,70.8
KIC 5283542,FALSE POSITIVE,K00827.01,0,0,1,0,5.97581754,962.4,50.3
KIC 5649215,FALSE POSITIVE,K00839.01,0,0,1,1,2.446737317,1177.9,110.2
KIC 5651104,CONFIRMED,K00840.01,0,0,0,0,3.04033046,10858.8,568.2
KIC 5792202,CONFIRMED,K00841.01,0,0,0,0,15.33528675,3081.4,86.6
KIC 5370302,FALSE POSITIVE,K00831.01,0,1,0,0,3.9043425,16228.4,323.4
KIC 5372966,FALSE POSITIVE,K00832.01,0,1,0,0,9.286358079,44791.4,1671.1
KIC 5376067,FALSE POSITIVE,K00833.01,0,1,0,0,3.951405455,2453.9,117.2
KIC 5436502,CONFIRMED,K00834.01,0,0,0,0,23.65369415,3341.8,266.3
KIC 5456651,CONFIRMED,K00835.01,0,0,0,0,11.76307164,1037.3,48.9
KIC 5481416,FALSE POSITIVE,K00836.01,0,1,1,1,2.384052875,1268.1,50.5
KIC 5531576,CONFIRMED,K00837.01,0,0,0,0,7.953547,875.4,38.4
KIC 5534814,FALSE POSITIVE,K00838.01,0,1,0,0,4.859386384,6044.3,269.7
KIC 6291653,CONFIRMED,K00850.01,0,0,0,0,10.526294577,9768,482.3
KIC 6392727,CONFIRMED,K00851.01,0,0,0,0,4.583520948,3812.1,99.5
KIC 6422070,CONFIRMED,K00852.01,0,0,0,0,3.76181843,510.6,35.9
KIC 6428700,CONFIRMED,K00853.01,0,0,0,0,8.20396958,1024.4,54.4
KIC 5794379,CONFIRMED,K00842.01,0,0,0,0,12.71809866,1149.4,52.7
KIC 5881688,CONFIRMED,K00843.01,0,0,0,0,4.190425659,2877.4,240.6
KIC 6022556,CONFIRMED,K00844.01,0,0,0,0,3.709870784,2020.3,116.1
KIC 6032497,CONFIRMED,K00845.01,0,0,0,0,16.3297527,1187.5,74.6
KIC 6061119,CONFIRMED,K00846.01,0,0,0,0,27.807566216,25391.1,748.1
KIC 6191521,CONFIRMED,K00847.01,0,0,0,0,80.8723469,3604.6,160.9
KIC 6267425,FALSE POSITIVE,K00848.01,0,1,1,0,3.166465862,4357.2,122.1
KIC 3531558,CONFIRMED,K00118.01,0,0,0,0,24.99324319,269.6,62.0
KIC 6276477,CONFIRMED,K00849.01,0,0,0,0,10.35533116,750.6,49.2
KIC 6863998,CONFIRMED,K00867.01,0,0,0,0,16.08518937,1442.4,62.6
KIC 6867155,CANDIDATE,K00868.01,0,0,0,0,235.9986399,20714.6,271.8
KIC 6948054,CONFIRMED,K00869.01,0,0,0,0,7.49018305,1123.6,53.0
KIC 6435936,CONFIRMED,K00854.01,0,0,0,0,56.0560754,1626,27.4
KIC 6522242,CONFIRMED,K00855.01,0,0,0,0,41.408316686,22838.9,907.8
KIC 6526710,CANDIDATE,K00856.01,0,0,0,0,39.74893077,15178.9,561.1
KIC 6587280,CONFIRMED,K00857.01,0,0,0,0,5.715425977,908.1,59.4
KIC 9471974,CONFIRMED,K00119.01,0,0,0,0,49.18394185,1646.2,355.7
KIC 6599919,CANDIDATE,K00858.01,0,0,0,0,13.61014819,5732.9,184.1
KIC 6675056,FALSE POSITIVE,K00859.01,0,1,1,1,10.44331991,1159.8,51.7
KIC 6685526,CONFIRMED,K00861.01,0,0,0,0,2.237489571,315.8,30.7
KIC 6756669,FALSE POSITIVE,K00862.01,0,1,0,0,5.851520671,33003.6,1630.4
KIC 6784235,CONFIRMED,K00863.01,0,0,0,0,3.167893418,781.2,64.8
KIC 6849310,CONFIRMED,K00864.01,0,0,0,0,4.311780262,1154,86.1
KIC 6862328,CANDIDATE,K00865.01,0,0,0,0,119.0207044,7430.5,223.5
KIC 6862603,FALSE POSITIVE,K00866.01,0,1,1,0,2.861159894,1014.3,58.3
KIC 7366258,CONFIRMED,K00880.01,0,0,0,0,26.44439337,1843.5,88.0
KIC 7373451,CONFIRMED,K00881.01,0,0,0,0,21.02250608,1772.5,62.4
KIC 6949607,CONFIRMED,K00870.01,0,0,0,0,5.912273234,961.4,62.8
KIC 7031517,CANDIDATE,K00871.01,0,0,0,0,12.940668656,42450,307.5
KIC 11869052,FALSE POSITIVE,K00120.01,0,1,0,0,20.5452375,218.5,18.5
KIC 7109675,CONFIRMED,K00872.01,0,0,0,0,33.60123371,7425.9,247.9
KIC 7118364,CONFIRMED,K00873.01,0,0,0,0,4.347288783,451.6,39.7
KIC 7134976,CONFIRMED,K00874.01,0,0,0,0,4.601811819,755.9,60.8
KIC 7135852,CONFIRMED,K00875.01,0,0,0,0,4.220965778,2260,157.8
KIC 7270230,FALSE POSITIVE,K00876.01,0,1,0,0,6.998099523,20285,192.3
KIC 7287995,CONFIRMED,K00877.01,0,0,0,0,5.95489993,1410.7,87.2
KIC 3247396,FALSE POSITIVE,K00121.01,0,1,1,1,8.8111022,401.1,76.8
KIC 7303253,CONFIRMED,K00878.01,0,0,0,0,23.58917143,1200.7,53.3
KIC 5094751,CONFIRMED,K00123.01,0,0,0,0,6.481633073,298.5,125.6
KIC 7678434,CONFIRMED,K00892.01,0,0,0,0,10.37168928,1254.9,64.5
KIC 7685981,CONFIRMED,K00893.01,0,0,0,0,4.40841331,549.4,45.1
KIC 7708215,FALSE POSITIVE,K00894.01,0,1,1,1,7.9426176,1590.7,60.4
KIC 7377033,FALSE POSITIVE,K00882.01,0,1,0,0,1.956811408,24905,125.4
KIC 7380537,CANDIDATE,K00883.01,0,0,0,0,2.688899233,37491.6,1011.6
KIC 7434875,CONFIRMED,K00884.01,0,0,0,0,9.439459486,3036.1,175.2
KIC 8349582,CONFIRMED,K00122.01,0,0,0,0,11.523067458,507.3,142.0
KIC 7455287,CONFIRMED,K00886.01,0,0,0,0,8.01078456,1333.6,48.5
KIC 7458762,CONFIRMED,K00887.01,0,0,0,0,7.41113177,620.5,50.4
KIC 7552344,FALSE POSITIVE,K00888.01,0,1,0,0,1.000747038,1823.5,147.4
KIC 757450,CONFIRMED,K00889.01,0,0,0,0,8.884922995,16053.4,388.2
KIC 7585481,CONFIRMED,K00890.01,0,0,0,0,8.09888906,6911.1,435.9
KIC 7663691,CONFIRMED,K00891.01,0,0,0,0,10.00653012,936.1,71.9
KIC 5812701,CONFIRMED,K00012.01,0,0,0,0,17.855221681,9065.2,915.7
KIC 8013419,CANDIDATE,K00901.01,0,0,0,0,12.732624065,6465.7,210.5
KIC 8018547,CANDIDATE,K00902.01,0,0,0,0,83.92494032,7958.7,182.1
KIC 8039892,CONFIRMED,K00903.01,0,0,0,0,5.007316661,6932.3,431.4
KIC 8150320,CONFIRMED,K00904.01,0,0,0,0,2.211116989,724.2,42.6
KIC 11086270,CONFIRMED,K00124.01,0,0,0,0,12.69104387,252.1,60.2
KIC 7767559,FALSE POSITIVE,K00895.01,0,1,0,0,4.409409243,12861,85.8
KIC 7825899,CONFIRMED,K00896.01,0,0,0,0,16.23947096,2590.7,123.8
KIC 7849854,CONFIRMED,K00897.01,0,0,0,0,2.052349884,14280.6,1072.1
KIC 7870390,CONFIRMED,K00898.01,0,0,0,0,9.7704486,1897.8,58.0
KIC 7907423,CONFIRMED,K00899.01,0,0,0,0,7.11373257,807.6,44.4
KIC 7938496,CONFIRMED,K00900.01,0,0,0,0,13.81020318,1309.7,46.2
KIC 8490993,CONFIRMED,K00911.01,0,0,0,0,4.093578461,538.6,36.4
KIC 8505670,CONFIRMED,K00912.01,0,0,0,0,10.8484518,1675.6,64.5
KIC 8544996,CONFIRMED,K00913.01,0,0,0,0,4.082274889,17859.2,1669.1
KIC 8552202,CANDIDATE,K00914.01,0,0,0,0,3.886655224,581.6,48.1
KIC 8180063,FALSE POSITIVE,K00905.01,0,0,1,0,5.795063956,1692.9,119.4
KIC 8226994,CONFIRMED,K00906.01,0,0,0,0,7.15681552,867,47.7
KIC 8247638,CONFIRMED,K00907.01,0,0,0,0,16.51410989,973.5,55.9
KIC 8255887,CONFIRMED,K00908.01,0,0,0,0,4.708326451,7912.7,633.4
KIC 8256049,FALSE POSITIVE,K00909.01,0,0,1,1,16.37198661,4147.6,54.5
KIC 8414716,CONFIRMED,K00910.01,0,0,0,0,5.392026903,1151.4,77.4
KIC 9140402,CANDIDATE,K00928.01,0,0,0,0,2.494170338,863.7,69.2
KIC 9141746,CONFIRMED,K00929.01,0,0,0,0,6.491682808,7163.3,502.3
KIC 9159275,FALSE POSITIVE,K00930.01,0,1,1,1,3.044770796,1695,203.5
KIC 9166862,CONFIRMED,K00931.01,0,0,0,0,3.855603916,16652.7,1173.9
KIC 9166870,FALSE POSITIVE,K00932.01,0,0,1,1,3.855599139,1030.9,90.1
KIC 11449844,CONFIRMED,K00125.01,0,1,0,0,38.47876629,23530,1077.8
KIC 8605074,FALSE POSITIVE,K00915.01,0,1,0,0,37.601661282,59130.1,1667.3
KIC 8628973,CONFIRMED,K00916.01,0,0,0,0,3.314947362,1398.2,123.5
KIC 8655354,FALSE POSITIVE,K00917.01,0,1,0,0,6.71969089,969.7,45.4
KIC 8672910,CONFIRMED,K00918.01,0,0,0,0,39.6431552,15663.8,690.3
KIC 8686150,FALSE POSITIVE,K00919.01,0,1,0,0,51.42598578,66067.7,1843.8
KIC 8689031,CONFIRMED,K00920.01,0,0,0,0,21.80451611,1144.9,49.9
KIC 8689373,CONFIRMED,K00921.01,0,0,0,0,10.28194593,1110.7,55.0
KIC 8826878,CONFIRMED,K00922.01,0,0,0,0,5.15448142,697.5,48.1
KIC 5897826,FALSE POSITIVE,K00126.01,0,1,0,0,33.80364366,13494.4,529.9
KIC 8883593,CONFIRMED,K00923.01,0,0,0,0,5.743469797,1240.2,79.7
KIC 8951215,CANDIDATE,K00924.01,0,0,0,0,39.4759093,1012.6,26.6
KIC 9016295,FALSE POSITIVE,K00925.01,0,1,0,0,19.974485239,40293.1,1398.8
KIC 9077124,CONFIRMED,K00926.01,0,0,0,0,3.166353562,1473.4,128.3
KIC 9097120,FALSE POSITIVE,K00927.01,0,1,1,0,23.899634407,20953.1,547.8
KIC 9466668,CONFIRMED,K00939.01,0,0,0,0,3.388012244,280.1,30.6
KIC 9479273,CONFIRMED,K00940.01,0,0,0,0,6.104849417,2090.3,293.7
KIC 8359498,CONFIRMED,K00127.01,0,0,0,0,3.578780566,11382.2,1838.4
KIC 9171801,FALSE POSITIVE,K00933.01,0,1,1,0,3.187067566,1037.4,37.2
KIC 9334289,CONFIRMED,K00934.01,0,0,0,0,5.826657508,1539.1,81.1
KIC 9347899,CONFIRMED,K00935.01,0,0,0,0,20.86021229,1910.5,117.0
KIC 9388479,CONFIRMED,K00936.01,0,0,0,0,9.467821474,2237,124.7
KIC 11359879,CONFIRMED,K00128.01,0,0,0,0,4.942783419,11144.7,2040.7
KIC 9406990,CONFIRMED,K00937.01,0,0,0,0,20.83426731,988.4,45.1
KIC 9415172,CONFIRMED,K00938.01,0,0,0,0,9.94602357,994.5,51.0
KIC 9904059,FALSE POSITIVE,K00145.01,0,1,0,0,102.9641952,1896.7,86.1
KIC 3231341,CONFIRMED,K01102.02,0,0,0,0,8.14515981,446.8,32.2
KIC 2860866,CANDIDATE,K01103.01,0,0,0,0,90.1240507,3020.3,57.9
KIC 7626506,CONFIRMED,K00150.02,0,0,0,0,28.5742692,824.9,97.1
KIC 10460629,CANDIDATE,K01168.01,0,0,0,0,856.672115,858.1,39.2
KIC 10319385,CANDIDATE,K01169.01,0,0,0,0,0.689210173,195,93.4
KIC 10482160,CONFIRMED,K01170.01,0,0,0,0,7.34373964,574.4,32.2
KIC 10485069,FALSE POSITIVE,K01171.01,1,0,0,1,0.445277068,186.7,28.9
KIC 3233043,FALSE POSITIVE,K00966.01,0,1,0,0,0.379463865,1973.3,458.6
KIC 6579806,FALSE POSITIVE,K00967.01,0,1,0,0,9.88047978,18541,534.5
KIC 3560301,FALSE POSITIVE,K00968.01,1,0,0,0,4.6484156,128.4,91.7
KIC 4044005,FALSE POSITIVE,K00969.01,0,1,0,0,17.512014768,4511.7,322.3
KIC 11502218,CANDIDATE,K00970.01,0,0,0,0,3.9886021,673.5,37.1
KIC 11180361,CANDIDATE,K00971.01,0,0,0,0,0.533059312,1495.8,179.6
KIC 5802246,FALSE POSITIVE,K01044.01,0,1,1,0,0.525154153,747.5,116.1
KIC 6066403,FALSE POSITIVE,K01045.01,0,0,1,1,1.303861044,598.2,140.6
KIC 6209637,FALSE POSITIVE,K01046.01,0,0,0,0,0.73452496,,
KIC 5988031,FALSE POSITIVE,K01047.01,0,0,1,0,2.55549176,113.8,24.3
KIC 7684873,FALSE POSITIVE,K00014.01,0,1,0,0,2.947376671,433.2,62.3
KIC 8559644,CONFIRMED,K00139.01,0,0,0,0,224.7789355,3487.5,235.7
KIC 2851100,FALSE POSITIVE,K01104.01,0,1,1,0,0.890110752,321.5,19.6
KIC 3130300,FALSE POSITIVE,K01105.01,0,0,1,0,5.76573396,248,22.2
KIC 3240158,CONFIRMED,K01106.01,0,0,0,0,7.42608123,443.3,37.5
KIC 3228959,FALSE POSITIVE,K01107.01,1,0,1,0,0.73094589,250.2,37.5
KIC 3218908,CONFIRMED,K01108.01,0,0,0,0,18.92537246,640.9,41.0
KIC 10341913,FALSE POSITIVE,K01172.01,1,0,1,1,0.933749106,186.2,136.3
KIC 10480921,FALSE POSITIVE,K01173.01,0,0,1,1,2.037440623,118.6,27.0
KIC 10287723,CANDIDATE,K01174.01,0,0,0,0,129995.7784,1474.9,35.7
KIC 10350571,CONFIRMED,K01175.01,0,0,0,0,31.5925809,145.1,25.5
KIC 3749365,CONFIRMED,K01176.01,0,0,0,0,1.97376085,30222.4,1252.5
KIC 11013201,CONFIRMED,K00972.01,0,0,0,0,13.118962443,372.2,267.4
KIC 11673674,FALSE POSITIVE,K00133.01,0,1,1,1,4.618767792,4399.1,270.1
KIC 9414417,CANDIDATE,K00974.01,0,0,0,0,53.5057611,195.6,71.2
KIC 3632418,CONFIRMED,K00975.01,0,0,0,0,2.785821236,68.9,53.6
KIC 3441784,FALSE POSITIVE,K00976.01,0,1,0,0,52.56901867,26900,184.3
KIC 5820218,FALSE POSITIVE,K01048.01,0,0,1,0,3.411758679,570.6,35.6
KIC 5876368,FALSE POSITIVE,K01049.01,0,1,1,1,0.525426427,324.6,63.6
KIC 5809890,CONFIRMED,K01050.01,0,0,0,0,1.269091415,340.9,73.5
KIC 6131236,CONFIRMED,K01051.01,0,0,0,0,6.79685353,393.1,29.8
KIC 9048161,FALSE POSITIVE,K00146.01,0,1,1,1,8.667822346,2121.9,187.6
KIC 3235672,FALSE POSITIVE,K01109.01,1,0,0,0,6.7210783,,
KIC 2837111,CONFIRMED,K01110.01,0,0,0,0,8.7348852,270.7,24.8
KIC 3120276,FALSE POSITIVE,K01111.01,0,0,1,1,10.26547688,399.6,20.1
KIC 2307199,CANDIDATE,K00151.01,0,0,0,0,13.4471791,1428.2,105.3
KIC 3547091,FALSE POSITIVE,K01177.01,0,1,0,0,3.305577989,17971,39.6
KIC 3869825,FALSE POSITIVE,K01178.01,0,1,0,0,4.800653901,15304.4,298.0
KIC 3655332,FALSE POSITIVE,K01179.01,0,1,1,1,15.06649901,36348,154.6
KIC 4042026,FALSE POSITIVE,K01180.01,0,1,0,0,34.82008158,18847.8,882.6
KIC 3344419,FALSE POSITIVE,K01181.01,1,0,0,1,0.651784374,2779.3,195.2
KIC 11192141,FALSE POSITIVE,K00977.01,0,1,0,0,1.353771892,1349.1,76.7
KIC 11494130,FALSE POSITIVE,K00978.01,1,0,0,0,18.95491633,867.5,249.3
KIC 5648449,FALSE POSITIVE,K00979.01,0,1,0,0,4.348866254,625.6,56.3
KIC 12167361,FALSE POSITIVE,K00980.01,0,1,0,0,47.93094546,2144.4,221.1
KIC 8607720,FALSE POSITIVE,K00981.01,1,0,0,0,3.99751422,32.8,6.1
KIC 1433962,FALSE POSITIVE,K00982.01,0,1,1,1,1.592633181,633.1,66.9
KIC 9032900,CONFIRMED,K00134.01,0,0,0,0,67.5923754,4158.1,60.9
KIC 5956342,CONFIRMED,K01052.01,0,0,0,0,17.02902786,568.9,29.8
KIC 5956656,CONFIRMED,K01053.01,0,0,0,0,1.224866441,196,21.1
KIC 3109930,CONFIRMED,K01112.01,0,0,0,0,37.8102649,570.3,35.2
KIC 2854914,CONFIRMED,K01113.01,0,0,0,0,25.93406406,414.5,42.2
KIC 3337425,FALSE POSITIVE,K01114.01,0,0,1,1,7.04710032,400.9,24.0
KIC 3116412,CONFIRMED,K01115.01,0,0,0,0,12.99204853,270.6,38.7
KIC 3865567,FALSE POSITIVE,K01182.01,0,1,1,0,11.11620211,4843.9,115.3
KIC 3544689,FALSE POSITIVE,K01183.01,0,1,1,1,1.922861499,1916.2,103.4
KIC 4037164,FALSE POSITIVE,K01184.01,0,1,1,1,0.635445336,2547.4,182.2
KIC 3443790,FALSE POSITIVE,K01185.01,0,1,1,0,1.665784138,2006.2,148.0
KIC 3966912,FALSE POSITIVE,K01186.01,0,1,1,0,55.6639167,3414.4,103.4
KIC 8394721,CONFIRMED,K00152.01,0,0,0,0,52.09081627,2894.1,243.5
KIC 11607193,FALSE POSITIVE,K00983.01,0,0,0,0,7.1548608,780.4,24.2
KIC 1161345,CONFIRMED,K00984.01,0,0,0,0,4.28746668,790.1,19.4
KIC 10227501,FALSE POSITIVE,K00985.01,0,0,1,0,2.002779769,260.5,22.2
KIC 2854698,CONFIRMED,K00986.01,0,0,0,0,8.18739443,517.6,38.4
KIC 6032981,FALSE POSITIVE,K01054.01,1,0,0,0,3.3226948,78.7,8.6
KIC 5866099,FALSE POSITIVE,K01055.01,0,1,1,1,36.97708808,1269.9,59.2
KIC 5964985,FALSE POSITIVE,K01056.01,0,0,0,0,1.851409163,232.5,54.4
KIC 6066416,FALSE POSITIVE,K01057.01,0,0,1,1,1.303859704,36.7,34.7
KIC 1996679,FALSE POSITIVE,K00147.01,0,1,1,0,145.5624926,2931.6,58.1
KIC 2849805,CONFIRMED,K01116.01,0,0,0,0,3.749105745,182.6,38.0
KIC 3114811,CONFIRMED,K01117.01,0,0,0,0,11.08956602,148.1,38.9
KIC 2853446,CANDIDATE,K01118.01,0,0,0,0,7.37290344,205.2,19.1
KIC 3003992,FALSE POSITIVE,K01119.01,0,0,0,1,7.24476126,58,27.2
KIC 3942446,CANDIDATE,K01193.01,0,0,0,0,119.0624882,5372.3,71.6
KIC 3554031,CONFIRMED,K01194.01,0,0,0,0,8.70798309,1419.6,28.1
KIC 7295235,CONFIRMED,K00987.01,0,0,0,0,3.179267286,200.9,41.0
KIC 2302548,CONFIRMED,K00988.01,0,0,0,0,10.38122447,801.5,41.9
KIC 10743597,FALSE POSITIVE,K00989.01,0,0,0,0,81.221876,9883,63.0
KIC 9818381,CONFIRMED,K00135.01,0,0,0,0,3.024092505,7765,1225.3
