target,mission
KIC 5446285,Kepler
KIC 12365184,Kepler
KIC 9479273,Kepler
KIC 11295426,Kepler
KIC 3544595,Kepler
KIC 8890783,Kepler
KIC 11773022,Kepler
KIC 12644822,Kepler
KIC 8352537,Kepler
KIC 11624249,Kepler
KIC 11013201,Kepler
KIC 5436502,Kepler
KIC 7951018,Kepler
KIC 9946525,Kepler
KIC 2571238,Kepler
KIC 4180280,Kepler
KIC 7109675,Kepler
KIC 4076098,Kepler
KIC 11551692,Kepler
KIC 9583881,Kepler
KIC 12314973,Kepler
KIC 8394721,Kepler
KIC 10187017,Kepler
KIC 8751933,Kepler
KIC 5881688,Kepler
KIC 8559644,Kepler
KIC 11027624,Kepler
KIC 10028792,Kepler
KIC 10937029,Kepler
KIC 6152974,Kepler
KIC 11960862,Kepler
KIC 1873513,Kepler
KIC 7368664,Kepler
KIC 12557548,Kepler
KIC 10790387,Kepler
KIC 9844088,Kepler
KIC 10616679,Kepler
KIC 7447200,Kepler
KIC 7277317,Kepler
KIC 8030148,Kepler
KIC 3835670,Kepler
KIC 8711794,Kepler
KIC 5796675,Kepler
KIC 11401755,Kepler
KIC 11904151,Kepler
KIC 5866724,Kepler
KIC 8565266,Kepler
KIC 5437945,Kepler
KIC 8478994,Kepler
KIC 5084942,Kepler
KIC 7434875,Kepler
KIC 8022489,Kepler
KIC 11517719,Kepler
KIC 3217264,Kepler
KIC 11518142,Kepler
KIC 11250587,Kepler
KIC 6196457,Kepler
KIC 8026752,Kepler
KIC 9579641,Kepler
KIC 9820483,Kepler
KIC 5164255,Kepler
KIC 8678594,Kepler
KIC 10910878,Kepler
KIC 11122894,Kepler
KIC 9450647,Kepler
KIC 6191521,Kepler
KIC 9702072,Kepler
KIC 11017901,Kepler
KIC 7135852,Kepler
KIC 6508221,Kepler
KIC 9663113,Kepler
KIC 5780460,Kepler
KIC 8866102,Kepler
KIC 9157634,Kepler
KIC 10873260,Kepler
KIC 4282872,Kepler
KIC 6471021,Kepler
KIC 10005758,Kepler
KIC 7898352,Kepler
KIC 11194032,Kepler
KIC 4914423,Kepler
KIC 7761545,Kepler
KIC 8349582,Kepler
KIC 11304958,Kepler
KIC 10123064,Kepler
KIC 3832474,Kepler
KIC 10982872,Kepler
KIC 12356617,Kepler
KIC 12252424,Kepler
KIC 11623629,Kepler
KIC 3861595,Kepler
KIC 10489206,Kepler
KIC 11666881,Kepler
KIC 11403044,Kepler
KIC 9077124,Kepler
KIC 11074541,Kepler
KIC 10265898,Kepler
KIC 6616218,Kepler
KIC 5383248,Kepler
KIC 5094751,Kepler
KIC 8806123,Kepler
KIC 9388479,Kepler
KIC 5864975,Kepler
KIC 7970760,Kepler
KIC 10191056,Kepler
KIC 9474969,Kepler
KIC 5738698,Kepler
KIC 9474222,Kepler
KIC 9353182,Kepler
KIC 9246715,Kepler
KIC 6766748,Kepler
KIC 6449358,Kepler
KIC 9966115,Kepler
KIC 9957668,Kepler
KIC 7118545,Kepler
KIC 5622250,Kepler
KIC 8581658,Kepler
KIC 9777062,Kepler
KIC 8044608,Kepler
KIC 8374499,Kepler
KIC 10480952,Kepler
KIC 5598639,Kepler
KIC 3757590,Kepler
KIC 10215422,Kepler
KIC 4740676,Kepler
KIC 8906676,Kepler
KIC 4144236,Kepler
KIC 12013615,Kepler
KIC 4365461,Kepler
KIC 5473556,Kepler
KIC 9912977,Kepler
KIC 6220470,Kepler
KIC 8098300,Kepler
KIC 11913071,Kepler
KIC 5288543,Kepler
KIC 10491031,Kepler
KIC 10616656,Kepler
KIC 9412462,Kepler
KIC 6362386,Kepler
KIC 7369523,Kepler
KIC 11409698,Kepler
KIC 9873869,Kepler
KIC 2445134,Kepler
KIC 3120320,Kepler
KIC 8414159,Kepler
KIC 4826439,Kepler
KIC 4285087,Kepler
KIC 6593363,Kepler
KIC 12644769,Kepler
KIC 8316503,Kepler
KIC 6891512,Kepler
KIC 8621026,Kepler
KIC 8415863,Kepler
KIC 10601579,Kepler
KIC 5005618,Kepler
KIC 3644542,Kepler
KIC 10031808,Kepler
KIC 5016163,Kepler
KIC 5530881,Kepler
KIC 6864859,Kepler
KIC 6594972,Kepler
KIC 11071207,Kepler
KIC 9851142,Kepler
KIC 5735878,Kepler
KIC 4950557,Kepler
KIC 10385682,Kepler
KIC 8378656,Kepler
KIC 10849244,Kepler
KIC 6610219,Kepler
KIC 4255422,Kepler
KIC 12071006,Kepler
KIC 10228942,Kepler
KIC 9941387,Kepler
KIC 5284133,Kepler
KIC 12217907,Kepler
KIC 4840327,Kepler
KIC 10198109,Kepler
KIC 7846730,Kepler
KIC 3449540,Kepler
KIC 9048145,Kepler
KIC 6543674,Kepler
KIC 6699562,Kepler
KIC 7117003,Kepler
KIC 4847832,Kepler
KIC 5700330,Kepler
KIC 12251779,Kepler
KIC 8957954,Kepler
KIC 7541502,Kepler
KIC 5807579,Kepler
KIC 2693092,Kepler
KIC 6806632,Kepler
KIC 10275887,Kepler
KIC 10296163,Kepler
KIC 3938073,Kepler
KIC 2973509,Kepler
KIC 6182849,Kepler
KIC 6698670,Kepler
KIC 8984706,Kepler
KIC 6859813,Kepler
KIC 6877673,Kepler
KIC 6523216,Kepler
KIC 4157488,Kepler
KIC 12021387,Kepler
KIC 8590780,Kepler
KIC 2708156,Kepler
KIC 11826400,Kepler
KIC 9207508,Kepler
KIC 6522750,Kepler
KIC 6029130,Kepler
KIC 8758161,Kepler
KIC 9101279,Kepler
KIC 7257373,Kepler
KIC 4661634,Kepler
KIC 9602595,Kepler
KIC 12017140,Kepler
KIC 5091614,Kepler
KIC 9344623,Kepler
KIC 2162994,Kepler
KIC 9579192,Kepler
KIC 8711548,Kepler
KIC 8364119,Kepler
KIC 7970629,Kepler
KIC 5456023,Kepler
KIC 11923819,Kepler
KIC 10736223,Kepler
KIC 2306740,Kepler
KIC 9159301,Kepler
KIC 11252617,Kepler
KIC 8488876,Kepler
KIC 10274244,Kepler
KIC 3439031,Kepler
KIC 6525209,Kepler
KIC 9632895,Kepler
KIC 5393558,Kepler
KIC 9549472,Kepler
KIC 7677005,Kepler
KIC 6762829,Kepler
KIC 8690001,Kepler
KIC 3240159,Kepler
KIC 11924426,Kepler
KIC 9948002,Kepler
KIC 9528430,Kepler
KIC 10920813,Kepler
KIC 7133286,Kepler
KIC 7122259,Kepler
KIC 8179747,Kepler
KIC 8009500,Kepler
KIC 6449552,Kepler
KIC 10026136,Kepler
KIC 5553624,Kepler
KIC 9291748,Kepler
KIC 7743464,Kepler
KIC 4281895,Kepler
KIC 8491745,Kepler
KIC 8257407,Kepler
KIC 7624297,Kepler
KIC 3339538,Kepler
KIC 7960547,Kepler
KIC 3440230,Kepler
KIC 6949550,Kepler
KIC 8507073,Kepler
KIC 9652632,Kepler
KIC 8823397,Kepler
KIC 8129189,Kepler
KIC 10686876,Kepler
KIC 9592855,Kepler
KIC 8128965,Kepler
KIC 6042663,Kepler
KIC 3542573,Kepler
KIC 7362852,Kepler
KIC 6448768,Kepler
KIC 4678875,Kepler
KIC 11619964,Kepler
KIC 10006096,Kepler
KIC 4352168,Kepler
KIC 5781192,Kepler
KIC 8868364,Kepler
KIC 8196180,Kepler
KIC 4076952,Kepler
KIC 7047299,Kepler
KIC 6591789,Kepler
KIC 7938468,Kepler
KIC 9821078,Kepler
KIC 8095099,Kepler
KIC 8330575,Kepler
KIC 8479386,Kepler
KIC 8453191,Kepler
KIC 10208759,Kepler
KIC 6147573,Kepler
KIC 9098810,Kepler
KIC 10002261,Kepler
KIC 10332789,Kepler
KIC 9284741,Kepler
KIC 4252226,Kepler
KIC 9163674,Kepler
KIC 10965963,Kepler
KIC 10345862,Kepler
KIC 5871918,Kepler
KIC 3230787,Kepler
KIC 9119405,Kepler
KIC 4445630,Kepler
KIC 8509346,Kepler
KIC 6042116,Kepler
